# Neuron Index, RF Height, RF Width
0, 12, 12
1, 12, 13
2, 12, 14
3, 12, 15
4, 12, 15
5, 12, 15
6, 12, 15
7, 12, 15
8, 12, 15
9, 12, 15
10, 12, 15
11, 12, 15
12, 12, 15
13, 12, 15
14, 12, 15
15, 12, 15
16, 12, 15
17, 12, 14
18, 12, 13
19, 12, 12
20, 13, 12
21, 13, 13
22, 13, 14
23, 13, 15
24, 13, 15
25, 13, 15
26, 13, 15
27, 13, 15
28, 13, 15
29, 13, 15
30, 13, 15
31, 13, 15
32, 13, 15
33, 13, 15
34, 13, 15
35, 13, 15
36, 13, 15
37, 13, 14
38, 13, 13
39, 13, 12
40, 14, 12
41, 14, 13
42, 14, 14
43, 14, 15
44, 14, 15
45, 14, 15
46, 14, 15
47, 14, 15
48, 14, 15
49, 14, 15
50, 14, 15
51, 14, 15
52, 14, 15
53, 14, 15
54, 14, 15
55, 14, 15
56, 14, 15
57, 14, 14
58, 14, 13
59, 14, 12
60, 15, 12
61, 15, 13
62, 15, 14
63, 15, 15
64, 15, 15
65, 15, 15
66, 15, 15
67, 15, 15
68, 15, 15
69, 15, 15
70, 15, 15
71, 15, 15
72, 15, 15
73, 15, 15
74, 15, 15
75, 15, 15
76, 15, 15
77, 15, 14
78, 15, 13
79, 15, 12
80, 15, 12
81, 15, 13
82, 15, 14
83, 15, 15
84, 15, 15
85, 15, 15
86, 15, 15
87, 15, 15
88, 15, 15
89, 15, 15
90, 15, 15
91, 15, 15
92, 15, 15
93, 15, 15
94, 15, 15
95, 15, 15
96, 15, 15
97, 15, 14
98, 15, 13
99, 15, 12
100, 15, 12
101, 15, 13
102, 15, 14
103, 15, 15
104, 15, 15
105, 15, 15
106, 15, 15
107, 15, 15
108, 15, 15
109, 15, 15
110, 15, 15
111, 15, 15
112, 15, 15
113, 15, 15
114, 15, 15
115, 15, 15
116, 15, 15
117, 15, 14
118, 15, 13
119, 15, 12
120, 15, 12
121, 15, 13
122, 15, 14
123, 15, 15
124, 15, 15
125, 15, 15
126, 15, 15
127, 15, 15
128, 15, 15
129, 15, 15
130, 15, 15
131, 15, 15
132, 15, 15
133, 15, 15
134, 15, 15
135, 15, 15
136, 15, 15
137, 15, 14
138, 15, 13
139, 15, 12
140, 15, 12
141, 15, 13
142, 15, 14
143, 15, 15
144, 15, 15
145, 15, 15
146, 15, 15
147, 15, 15
148, 15, 15
149, 15, 15
150, 15, 15
151, 15, 15
152, 15, 15
153, 15, 15
154, 15, 15
155, 15, 15
156, 15, 15
157, 15, 14
158, 15, 13
159, 15, 12
160, 15, 12
161, 15, 13
162, 15, 14
163, 15, 15
164, 15, 15
165, 15, 15
166, 15, 15
167, 15, 15
168, 15, 15
169, 15, 15
170, 15, 15
171, 15, 15
172, 15, 15
173, 15, 15
174, 15, 15
175, 15, 15
176, 15, 15
177, 15, 14
178, 15, 13
179, 15, 12
180, 15, 12
181, 15, 13
182, 15, 14
183, 15, 15
184, 15, 15
185, 15, 15
186, 15, 15
187, 15, 15
188, 15, 15
189, 15, 15
190, 15, 15
191, 15, 15
192, 15, 15
193, 15, 15
194, 15, 15
195, 15, 15
196, 15, 15
197, 15, 14
198, 15, 13
199, 15, 12
200, 15, 12
201, 15, 13
202, 15, 14
203, 15, 15
204, 15, 15
205, 15, 15
206, 15, 15
207, 15, 15
208, 15, 15
209, 15, 15
210, 15, 15
211, 15, 15
212, 15, 15
213, 15, 15
214, 15, 15
215, 15, 15
216, 15, 15
217, 15, 14
218, 15, 13
219, 15, 12
220, 15, 12
221, 15, 13
222, 15, 14
223, 15, 15
224, 15, 15
225, 15, 15
226, 15, 15
227, 15, 15
228, 15, 15
229, 15, 15
230, 15, 15
231, 15, 15
232, 15, 15
233, 15, 15
234, 15, 15
235, 15, 15
236, 15, 15
237, 15, 14
238, 15, 13
239, 15, 12
240, 15, 12
241, 15, 13
242, 15, 14
243, 15, 15
244, 15, 15
245, 15, 15
246, 15, 15
247, 15, 15
248, 15, 15
249, 15, 15
250, 15, 15
251, 15, 15
252, 15, 15
253, 15, 15
254, 15, 15
255, 15, 15
256, 15, 15
257, 15, 14
258, 15, 13
259, 15, 12
260, 15, 12
261, 15, 13
262, 15, 14
263, 15, 15
264, 15, 15
265, 15, 15
266, 15, 15
267, 15, 15
268, 15, 15
269, 15, 15
270, 15, 15
271, 15, 15
272, 15, 15
273, 15, 15
274, 15, 15
275, 15, 15
276, 15, 15
277, 15, 14
278, 15, 13
279, 15, 12
280, 15, 12
281, 15, 13
282, 15, 14
283, 15, 15
284, 15, 15
285, 15, 15
286, 15, 15
287, 15, 15
288, 15, 15
289, 15, 15
290, 15, 15
291, 15, 15
292, 15, 15
293, 15, 15
294, 15, 15
295, 15, 15
296, 15, 15
297, 15, 14
298, 15, 13
299, 15, 12
300, 15, 12
301, 15, 13
302, 15, 14
303, 15, 15
304, 15, 15
305, 15, 15
306, 15, 15
307, 15, 15
308, 15, 15
309, 15, 15
310, 15, 15
311, 15, 15
312, 15, 15
313, 15, 15
314, 15, 15
315, 15, 15
316, 15, 15
317, 15, 14
318, 15, 13
319, 15, 12
320, 15, 12
321, 15, 13
322, 15, 14
323, 15, 15
324, 15, 15
325, 15, 15
326, 15, 15
