# Neuron Index, RF Height, RF Width
0, 18, 18
1, 18, 19
2, 18, 20
3, 18, 21
4, 18, 22
5, 18, 23
6, 18, 24
7, 18, 25
8, 18, 26
9, 18, 27
10, 18, 27
11, 18, 26
12, 18, 25
13, 18, 24
14, 18, 23
15, 18, 22
16, 18, 21
17, 18, 20
18, 18, 19
19, 18, 18
20, 19, 18
21, 19, 19
22, 19, 20
23, 19, 21
24, 19, 22
25, 19, 23
26, 19, 24
27, 19, 25
28, 19, 26
29, 19, 27
30, 19, 27
31, 19, 26
32, 19, 25
33, 19, 24
34, 19, 23
35, 19, 22
36, 19, 21
37, 19, 20
38, 19, 19
39, 19, 18
40, 20, 18
41, 20, 19
42, 20, 20
43, 20, 21
44, 20, 22
45, 20, 23
46, 20, 24
47, 20, 25
48, 20, 26
49, 20, 27
50, 20, 27
51, 20, 26
52, 20, 25
53, 20, 24
54, 20, 23
55, 20, 22
56, 20, 21
57, 20, 20
58, 20, 19
59, 20, 18
60, 21, 18
61, 21, 19
62, 21, 20
63, 21, 21
64, 21, 22
65, 21, 23
66, 21, 24
67, 21, 25
68, 21, 26
69, 21, 27
70, 21, 27
71, 21, 26
72, 21, 25
73, 21, 24
74, 21, 23
75, 21, 22
76, 21, 21
77, 21, 20
78, 21, 19
79, 21, 18
80, 22, 18
81, 22, 19
82, 22, 20
83, 22, 21
84, 22, 22
85, 22, 23
86, 22, 24
87, 22, 25
88, 22, 26
89, 22, 27
90, 22, 27
91, 22, 26
92, 22, 25
93, 22, 24
94, 22, 23
95, 22, 22
96, 22, 21
97, 22, 20
98, 22, 19
99, 22, 18
100, 23, 18
101, 23, 19
102, 23, 20
103, 23, 21
104, 23, 22
105, 23, 23
106, 23, 24
107, 23, 25
108, 23, 26
109, 23, 27
110, 23, 27
111, 23, 26
112, 23, 25
113, 23, 24
114, 23, 23
115, 23, 22
116, 23, 21
117, 23, 20
118, 23, 19
119, 23, 18
120, 24, 18
121, 24, 19
122, 24, 20
123, 24, 21
124, 24, 22
125, 24, 23
126, 24, 24
127, 24, 25
128, 24, 26
129, 24, 27
130, 24, 27
131, 24, 26
132, 24, 25
133, 24, 24
134, 24, 23
135, 24, 22
136, 24, 21
137, 24, 20
138, 24, 19
139, 24, 18
140, 25, 18
141, 25, 19
142, 25, 20
143, 25, 21
144, 25, 22
145, 25, 23
146, 25, 24
147, 25, 25
148, 25, 26
149, 25, 27
150, 25, 27
151, 25, 26
152, 25, 25
153, 25, 24
154, 25, 23
155, 25, 22
156, 25, 21
157, 25, 20
158, 25, 19
159, 25, 18
160, 26, 18
161, 26, 19
162, 26, 20
163, 26, 21
164, 26, 22
165, 26, 23
166, 26, 24
167, 26, 25
168, 26, 26
169, 26, 27
170, 26, 27
171, 26, 26
172, 26, 25
173, 26, 24
174, 26, 23
175, 26, 22
176, 26, 21
177, 26, 20
178, 26, 19
179, 26, 18
180, 27, 18
181, 27, 19
182, 27, 20
183, 27, 21
184, 27, 22
185, 27, 23
186, 27, 24
187, 27, 25
188, 27, 26
189, 27, 27
190, 27, 27
191, 27, 26
192, 27, 25
193, 27, 24
194, 27, 23
195, 27, 22
196, 27, 21
197, 27, 20
198, 27, 19
199, 27, 18
200, 27, 18
201, 27, 19
202, 27, 20
203, 27, 21
204, 27, 22
205, 27, 23
206, 27, 24
207, 27, 25
208, 27, 26
209, 27, 27
210, 27, 27
211, 27, 26
212, 27, 25
213, 27, 24
214, 27, 23
215, 27, 22
216, 27, 21
217, 27, 20
218, 27, 19
219, 27, 18
220, 26, 18
221, 26, 19
222, 26, 20
223, 26, 21
224, 26, 22
225, 26, 23
226, 26, 24
227, 26, 25
228, 26, 26
229, 26, 27
230, 26, 27
231, 26, 26
232, 26, 25
233, 26, 24
234, 26, 23
235, 26, 22
236, 26, 21
237, 26, 20
238, 26, 19
239, 26, 18
240, 25, 18
241, 25, 19
242, 25, 20
243, 25, 21
244, 25, 22
245, 25, 23
246, 25, 24
247, 25, 25
248, 25, 26
249, 25, 27
250, 25, 27
251, 25, 26
252, 25, 25
253, 25, 24
254, 25, 23
255, 25, 22
256, 25, 21
257, 25, 20
258, 25, 19
259, 25, 18
260, 24, 18
261, 24, 19
262, 24, 20
263, 24, 21
264, 24, 22
265, 24, 23
266, 24, 24
267, 24, 25
268, 24, 26
269, 24, 27
270, 24, 27
271, 24, 26
272, 24, 25
273, 24, 24
274, 24, 23
275, 24, 22
276, 24, 21
277, 24, 20
278, 24, 19
